#,orderid,cid
1,ORDER1,CUSTOMER1
2,ORDER100,CUSTOMER100
3,ORDER1001,CUSTOMER1001
4,ORDER1002,CUSTOMER1002
5,ORDER1003,CUSTOMER1003
6,ORDER1004,CUSTOMER1004
7,ORDER1005,CUSTOMER1005
8,ORDER101,CUSTOMER100
9,ORDER102,CUSTOMER100
10,ORDER103,CUSTOMER101
11,ORDER104,CUSTOMER101
12,ORDER105,CUSTOMER101
13,ORDER106,CUSTOMER102
14,ORDER107,CUSTOMER102
15,ORDER108,CUSTOMER102
16,ORDER109,CUSTOMER103
17,ORDER110,CUSTOMER103
18,ORDER111,CUSTOMER103
19,ORDER2,CUSTOMER2
20,ORDER21,CUSTOMER100
21,ORDER22,CUSTOMER100
22,ORDER24,CUSTOMER100
23,ORDER25,CUSTOMER100
24,ORDER26,CUSTOMER100
25,ORDER27,CUSTOMER100
26,ORDER28,CUSTOMER100
27,ORDER29,CUSTOMER100
28,ORDER3,CUSTOMER3
29,ORDER31,CUSTOMER100
30,ORDER32,CUSTOMER100
31,ORDER33,CUSTOMER100
32,ORDER34,CUSTOMER100
33,ORDER35,CUSTOMER100
34,ORDER36,CUSTOMER100
35,ORDER37,CUSTOMER100
36,ORDER38,CUSTOMER100
37,ORDER39,CUSTOMER100
